PDF-compliant scoring report (Way-2 approximation)
Rule: valid iff |VE-VT| <= |VT|*2^(-2r), VE!=0, u!=0, v!=0

=== r = 1 ===
No  u           v           VE                 VT                 Score   Exact?
  1  0x10000000  0x08000000      0.500000000000      0.500000000000    1.0000  Y
  2  0x10000000  0x07000000             -0.5000             -0.5000    1.0000  Y
  3  0x20000000  0x0D000000             -0.5000             -0.5000    1.0000  Y
  4  0x20000000  0x09000000             -0.5000             -0.5000    1.0000  Y
  5  0x20000000  0x05000000             -0.5000             -0.5000    1.0000  Y
  6  0x20000000  0x01000000              0.5000              0.5000    1.0000  Y
  7  0x30000000  0x0C000000              0.5000              0.5000    1.0000  Y
  8  0x30000000  0x03000000              0.5000              0.5000    1.0000  Y
  9  0x40000000  0x0F000000              0.5000              0.5000    1.0000  Y
 10  0x40000000  0x0A000000             -0.5000             -0.5000    1.0000  Y
 11  0x40000000  0x07000000              0.5000              0.5000    1.0000  Y
 12  0x40000000  0x02000000              0.5000              0.5000    1.0000  Y
 13  0x50000000  0x0F000000              0.5000              0.5000    1.0000  Y
 14  0x50000000  0x08000000             -0.5000             -0.5000    1.0000  Y
 15  0x60000000  0x0B000000             -0.5000             -0.5000    1.0000  Y
 16  0x60000000  0x0A000000             -0.5000             -0.5000    1.0000  Y
 17  0x60000000  0x03000000              0.5000              0.5000    1.0000  Y
 18  0x60000000  0x02000000             -0.5000             -0.5000    1.0000  Y
 19  0x70000000  0x0C000000              0.5000              0.5000    1.0000  Y
 20  0x70000000  0x0B000000              0.5000              0.5000    1.0000  Y
 21  0x80000000  0x0E000000              0.5000              0.5000    1.0000  Y
 22  0x80000000  0x04000000              0.5000              0.5000    1.0000  Y
 23  0x90000000  0x0C000000              0.5000              0.5000    1.0000  Y
 24  0x90000000  0x08000000             -0.5000             -0.5000    1.0000  Y
 25  0xA0000000  0x0E000000              0.5000              0.5000    1.0000  Y
 26  0xA0000000  0x04000000             -0.5000             -0.5000    1.0000  Y
 27  0xB0000000  0x0D000000              0.5000              0.5000    1.0000  Y
 28  0xB0000000  0x09000000             -0.5000             -0.5000    1.0000  Y
 29  0xC0000000  0x06000000              0.5000              0.5000    1.0000  Y
 30  0xC0000000  0x04000000             -0.5000             -0.5000    1.0000  Y
 31  0xD0000000  0x0C000000             -0.5000             -0.5000    1.0000  Y
 32  0xD0000000  0x08000000             -0.5000             -0.5000    1.0000  Y
 33  0xE0000000  0x06000000             -0.5000             -0.5000    1.0000  Y
 34  0xE0000000  0x04000000             -0.5000             -0.5000    1.0000  Y
 35  0xF0000000  0x05000000              0.5000              0.5000    1.0000  Y
 36  0xF0000000  0x01000000              0.5000              0.5000    1.0000  Y
 37  0x01000000  0x00000888              0.5000              0.5000    1.0000  Y
 38  0x01000000  0x00000777             -0.5000             -0.5000    1.0000  Y
 39  0x02000000  0x00000DDD             -0.5000             -0.5000    1.0000  Y
 40  0x02000000  0x00000999             -0.5000             -0.5000    1.0000  Y
 41  0x02000000  0x00000555             -0.5000             -0.5000    1.0000  Y
 42  0x02000000  0x00000111              0.5000              0.5000    1.0000  Y
 43  0x03000000  0x00000CCC              0.5000              0.5000    1.0000  Y
 44  0x03000000  0x00000333              0.5000              0.5000    1.0000  Y
 45  0x04000000  0x00000FFF              0.5000              0.5000    1.0000  Y
 46  0x04000000  0x00000AAA             -0.5000             -0.5000    1.0000  Y
 47  0x04000000  0x00000777              0.5000              0.5000    1.0000  Y
 48  0x04000000  0x00000222              0.5000              0.5000    1.0000  Y
 49  0x05000000  0x00000FFF              0.5000              0.5000    1.0000  Y
 50  0x05000000  0x00000888             -0.5000             -0.5000    1.0000  Y
 51  0x06000000  0x00000BBB             -0.5000             -0.5000    1.0000  Y
 52  0x06000000  0x00000AAA             -0.5000             -0.5000    1.0000  Y
 53  0x06000000  0x00000333              0.5000              0.5000    1.0000  Y
 54  0x06000000  0x00000222             -0.5000             -0.5000    1.0000  Y
 55  0x07000000  0x00000CCC              0.5000              0.5000    1.0000  Y
 56  0x07000000  0x00000BBB              0.5000              0.5000    1.0000  Y
 57  0x08000000  0x00000EEE              0.5000              0.5000    1.0000  Y
 58  0x08000000  0x00000444              0.5000              0.5000    1.0000  Y
 59  0x09000000  0x00000CCC              0.5000              0.5000    1.0000  Y
 60  0x09000000  0x00000888             -0.5000             -0.5000    1.0000  Y
 61  0x0A000000  0x00000EEE              0.5000              0.5000    1.0000  Y
 62  0x0A000000  0x00000444             -0.5000             -0.5000    1.0000  Y
 63  0x0B000000  0x00000DDD              0.5000              0.5000    1.0000  Y
 64  0x0B000000  0x00000999             -0.5000             -0.5000    1.0000  Y
 65  0x0C000000  0x00000666              0.5000              0.5000    1.0000  Y
 66  0x0C000000  0x00000444             -0.5000             -0.5000    1.0000  Y
 67  0x0D000000  0x00000CCC             -0.5000             -0.5000    1.0000  Y
 68  0x0D000000  0x00000888             -0.5000             -0.5000    1.0000  Y
 69  0x0E000000  0x00000666             -0.5000             -0.5000    1.0000  Y
 70  0x0E000000  0x00000444             -0.5000             -0.5000    1.0000  Y
 71  0x0F000000  0x00000555              0.5000              0.5000    1.0000  Y
 72  0x0F000000  0x00000111              0.5000              0.5000    1.0000  Y
 73  0x00100000  0x08080000              0.5000              0.5000    1.0000  Y
 74  0x00100000  0x07070000             -0.5000             -0.5000    1.0000  Y
 75  0x00200000  0x0D0D0000             -0.5000             -0.5000    1.0000  Y
 76  0x00200000  0x09090000             -0.5000             -0.5000    1.0000  Y
 77  0x00200000  0x05050000             -0.5000             -0.5000    1.0000  Y
 78  0x00200000  0x01010000              0.5000              0.5000    1.0000  Y
 79  0x00300000  0x0C0C0000              0.5000              0.5000    1.0000  Y
 80  0x00300000  0x03030000              0.5000              0.5000    1.0000  Y
 81  0x00400000  0x0F0F0000              0.5000              0.5000    1.0000  Y
 82  0x00400000  0x0A0A0000             -0.5000             -0.5000    1.0000  Y
 83  0x00400000  0x07070000              0.5000              0.5000    1.0000  Y
 84  0x00400000  0x02020000              0.5000              0.5000    1.0000  Y
 85  0x00500000  0x0F0F0000              0.5000              0.5000    1.0000  Y
 86  0x00500000  0x08080000             -0.5000             -0.5000    1.0000  Y
 87  0x00600000  0x0B0B0000             -0.5000             -0.5000    1.0000  Y
 88  0x00600000  0x0A0A0000             -0.5000             -0.5000    1.0000  Y
 89  0x00600000  0x03030000              0.5000              0.5000    1.0000  Y
 90  0x00600000  0x02020000             -0.5000             -0.5000    1.0000  Y
 91  0x00700000  0x0C0C0000              0.5000              0.5000    1.0000  Y
 92  0x00700000  0x0B0B0000              0.5000              0.5000    1.0000  Y
 93  0x00800000  0x0E0E0000              0.5000              0.5000    1.0000  Y
 94  0x00800000  0x04040000              0.5000              0.5000    1.0000  Y
 95  0x00900000  0x0C0C0000              0.5000              0.5000    1.0000  Y
 96  0x00900000  0x08080000             -0.5000             -0.5000    1.0000  Y
 97  0x00A00000  0x0E0E0000              0.5000              0.5000    1.0000  Y
 98  0x00A00000  0x04040000             -0.5000             -0.5000    1.0000  Y
 99  0x00B00000  0x0D0D0000              0.5000              0.5000    1.0000  Y
100  0x00B00000  0x09090000             -0.5000             -0.5000    1.0000  Y
101  0x00C00000  0x06060000              0.5000              0.5000    1.0000  Y
102  0x00C00000  0x04040000             -0.5000             -0.5000    1.0000  Y
103  0x00D00000  0x0C0C0000             -0.5000             -0.5000    1.0000  Y
104  0x00D00000  0x08080000             -0.5000             -0.5000    1.0000  Y
105  0x00E00000  0x06060000             -0.5000             -0.5000    1.0000  Y
106  0x00E00000  0x04040000             -0.5000             -0.5000    1.0000  Y
107  0x00F00000  0x05050000              0.5000              0.5000    1.0000  Y
108  0x00F00000  0x01010000              0.5000              0.5000    1.0000  Y
109  0x00010000  0x00008008              0.5000              0.5000    1.0000  Y
110  0x00010000  0x00007007             -0.5000             -0.5000    1.0000  Y
111  0x00020000  0x0000D00D             -0.5000             -0.5000    1.0000  Y
112  0x00020000  0x00009009             -0.5000             -0.5000    1.0000  Y
113  0x00020000  0x00005005             -0.5000             -0.5000    1.0000  Y
114  0x00020000  0x00001001              0.5000              0.5000    1.0000  Y
115  0x00030000  0x0000C00C              0.5000              0.5000    1.0000  Y
116  0x00030000  0x00003003              0.5000              0.5000    1.0000  Y
117  0x00040000  0x0000F00F              0.5000              0.5000    1.0000  Y
118  0x00040000  0x0000A00A             -0.5000             -0.5000    1.0000  Y
119  0x00040000  0x00007007              0.5000              0.5000    1.0000  Y
120  0x00040000  0x00002002              0.5000              0.5000    1.0000  Y
121  0x00050000  0x0000F00F              0.5000              0.5000    1.0000  Y
122  0x00050000  0x00008008             -0.5000             -0.5000    1.0000  Y
123  0x00060000  0x0000B00B             -0.5000             -0.5000    1.0000  Y
124  0x00060000  0x0000A00A             -0.5000             -0.5000    1.0000  Y
125  0x00060000  0x00003003              0.5000              0.5000    1.0000  Y
126  0x00060000  0x00002002             -0.5000             -0.5000    1.0000  Y
127  0x00070000  0x0000C00C              0.5000              0.5000    1.0000  Y
128  0x00070000  0x0000B00B              0.5000              0.5000    1.0000  Y
129  0x00080000  0x0000E00E              0.5000              0.5000    1.0000  Y
130  0x00080000  0x00004004              0.5000              0.5000    1.0000  Y
